id,type,min distance,max distance
9,Point,389.45218,0.0
2,Line,61.983868,113.758514
10,Line,227.77402,295.58417
3,Segment,188.73262,221.65288
11,Segment,295.84625,362.49277
6,Triangle,445.98206,538.34
14,Triangle,707.4666,793.0731
5,Ellipse,587.53125,0.0
13,Ellipse,564.2783,0.0
8,Circle,778.3913,0.0
16,Circle,1010.149,0.0
7,Polygon,723.5938,898.12805
15,Polygon,883.8241,1026.9202
4,Curve,262.0687,338.42133
12,Curve,406.29547,487.96927
