id,type,min distance,max distance
1,Point,328.54376,464.957
2,Line,223.18153,464.0097
3,Segment,198.11613,536.4476
8,Circle,551.6593,649.5883
5,Ellipse,741.5396,846.2647
4,Curve,431.29224,791.2585
7,Polygon,182.28,465.2494
