id,type,min distance,max distance
1,Point,726.29816,0.0
2,Line,630.2539,0.0
3,Segment,514.0788,0.0
5,Ellipse,312.27072,0.0
6,Triangle,577.0702,0.0
4,Curve,333.76788,420.2059
7,Polygon,202.0,387.8724
